#Accession	NCBI-taxid (-1 = withdrawn)
448084373	559304
483962234	1136167
484164396	768491
520950281	1238236
390169293	861109
550265433	1313304
359433942	388384
359438158	383911
484197677	1191302
427821506	1208659
484120548	748003
241958515	573826
406705597	859653
551241393	1121109
324330593	761194
295425446	585524
238756767	527005
395004022	1144317
403725782	1108045
560223186	1344995
421738598	1195457
484001900	1121096
94268859	262489
548578605	1227812
544233283	649755
488003215	1209359
303310576	222929
483993218	1240676
489151750	1292037
323499726	945550
408543694	1134445
485462091	1051004
484009926	1245026
71744275	185431
485068943	1157629
553776600	1402545
323701323	696369
224514807	428127
485662368	1085628
484116796	1030145
551005573	877445
282892274	159254
545401098	411472
317159383	510516
410651204	1172567
544988474	1151292
560232482	1396518
551026854	1280683
393726585	859192
299741903	240176
484026392	1246475
317512111	232363
373471603	861454
365922917	797473
484033810	1194165
330990428	1004836
416938461	987057
484004942	1120934
320534959	706439
416045427	907487
303390580	876142
499152275	1121342
325853244	944557
123449899	412133
238785079	349968
373468165	762965
483434175	1122247
302495936	663331
483281413	1080187
282891483	159254
338814504	1009370
554183179	1124962
307244668	596315
320538650	754027
484022800	1246474
255715556	559295
545460477	1391729
493472689	1118156
484118302	564421
71030749	333668
334135215	944559
422337952	679198
343957576	981383
491081305	1217677
490787993	1217715
419801800	1095745
484110394	95611
359444456	420915
332561612	992186
145490075	412030
409167224	1168289
448551946	1227463
338991757	1043206
336268601	771870
484231306	1157685
325271720	985010
475992063	1195236
123411002	412133
338814159	1009370
550703791	1387231
422848022	888810
424031220	992010
156848038	436907
485068238	629773
402299358	1218173
401428766	929439
149002894	406560
557825374	1282360
563246061	1287085
484227433	1041151
418026554	1042404
339050679	434085
407792485	740709
302307592	284811
484075088	306281
484007101	1245473
313150997	525326
488897465	1131451
545598308	1125712
398386973	336722
511622599	1055192
421142884	463794
484174869	1179224
223998179	296543
365838831	1002364
484081249	1121346
171348126	499171
545429266	1227272
419838679	1095742
544915306	1221520
544845650	1117108
483049122	1210005
116195593	306901
209517835	516466
484049491	1194208
213408792	402676
342210634	1034808
401565288	936572
483531291	1219037
169868110	240176
483983433	1144930
422599870	629261
212540293	441960
484204392	1131290
498797750	1273125
223667588	411462
163783681	392423
395007283	1144317
484050383	904143
483980558	1122619
296411138	656061
344344801	765910
483992468	1123276
393772565	555793
484120965	1238186
459785260	360313
146412449	294746
66823638	352472
182417428	447214
154272056	339724
544866475	1329905
118490647	413949
410078869	1071382
163784925	392423
484180513	1240783
365841110	861450
485602543	1079985
484106864	1163065
489082778	1218598
419801315	1095745
74026181	185431
381184903	1081736
444355690	1127693
336258148	771870
115400588	341663
71755172	185431
339060712	434085
514340189	796943
483963110	1079455
489018653	303682
421611721	993517
418964364	1095729
560528658	1408282
403909585	1112213
562949485	1287336
410728266	1196322
149146983	441162
543938750	1117313
303318029	222929
386384967	1114943
545061644	1232192
545310982	1115809
288904223	637909
171688213	515849
483961773	1155715
433678783	1261556
485467618	1078013
484176785	1179226
484033297	1192868
298252964	682148
545356745	1321772
227354642	593452
285877156	537970
423646151	1053240
484203091	938633
339898707	435258
376007269	376219
554684077	1173950
484193861	1248414
350547230	1048830
119512239	313624
255949603	500485
323494832	945543
121534529	401526
241953230	573826
410721078	1220534
483313051	1221289
224011438	296543
67904051	227321
390448469	1189611
483551957	1306990
545331413	1227262
198442293	558269
485055790	1202962
484202783	938631
334135264	944559
544779187	1333853
254582317	559307
261192030	559298
309802459	553191
405322164	742726
483243782	1123244
486829714	1158598
290986018	744533
418960390	1108963
490335921	1229514
399579523	1008457
484205139	1191322
448637079	662476
107872508	284813
346681644	742765
484112296	1257078
485064634	374846
149192396	391591
483994677	1123278
189187995	426418
303231422	866776
471967449	1276920
484082457	1121378
484187180	1188253
484040734	1169192
484154021	1288484
484226780	1121022
483981094	1234128
484036938	1197906
420740714	992163
336311429	327275
469967743	1088541
421468612	985079
484017565	1122927
421316673	991923
483208028	1131287
50550836	284591
551059886	1122203
410721338	1220534
425461401	1160284
357029876	1082933
484033793	1194165
448592706	1230453
558649791	1410620
386875034	859350
484215187	1094180
418940777	1125979
557313086	994573
154316210	332648
395237064	883169
523639743	1218585
484218721	1131278
222299719	403779
190642541	526946
398874712	1144336
484080643	1265507
348166727	940284
558564385	1116472
268308398	592015
295662534	502779
490835420	1217663
149928294	391597
484317678	1191460
483987275	1123487
198441482	558269
544669637	1123360
486427146	1009712
410090155	450396
485076187	1123057
392958851	1196324
398812015	1144315
399090783	1144304
429241784	284812
484032601	1141106
553307295	1319815
219130917	556484
484228960	1157680
410081538	1234600
410083993	1071382
417964290	1054945
374602708	1131935
295396801	655812
408905735	1167637
377563629	1089453
421861214	1212764
149280317	391596
484022427	1246461
417060097	947828
351000278	999386
562787408	1408890
365158338	665952
50285806	284593
545458337	1337093
545408769	500634
167382442	370354
430025462	1249621
529139200	1316445
119197166	246410
487380276	1172187
390631337	1127131
562742613	1388762
418293253	32042
498815006	1316928
483961856	1155715
448736473	1227457
551031305	1280663
484251771	1185707
459784531	360313
377575197	1089455
484342355	1204340
555264632	1173780
408542819	1149865
484112437	1257078
122054791	394104
156084669	484906
545129612	1390371
238791081	349966
320541005	914128
324330746	761194
424048336	992012
241952277	573826
552766124	1203627
190672504	526950
325672487	888743
510936139	1189612
485063981	374846
260579797	525262
207998070	561177
484118545	1268076
365816217	1097667
484004826	1231390
421609864	993517
301323991	673198
511097820	1200984
484189005	1263856
483987101	1123487
386383671	1114943
483987308	1123487
410633436	493475
300707506	578460
326391333	509192
483994292	1123278
483975604	1157635
484175901	1179225
482986843	999545
483979102	1157638
550907266	1121456
329895096	876044
357632108	1030157
416409793	423471
190667388	526949
399523906	1105030
486402328	1267000
452215535	909209
484084490	1265495
481030751	1154860
303252047	754254
488895538	1131451
381182664	1081736
218437013	65393
484203977	1191313
485065495	1002340
46125168	229533
484185978	1248412
499133854	1313264
543941798	1117318
555231565	984237
560231584	1396518
484226971	1121022
484001960	1121096
119466966	331117
484221397	1206096
66358447	353152
483378235	1221306
558562848	1116472
339959156	412597
484278097	1193119
385261465	1095727
118490667	413949
422317842	562971
167540312	370354
484067859	1248440
476533572	1286635
443674349	1268303
154273782	339724
324996525	871541
154287255	339724
484229092	556262
224460381	520458
87302672	69042
224515309	518637
485850040	487528
221060091	5851
374609217	710687
255019557	637389
503514996	996819
523627199	1242991
224485569	469590
483991585	1123248
146386232	411470
484233393	1120917
408784816	883112
260447176	500637
126257111	322104
484189458	1187846
421766919	1231377
485061040	1217720
443673765	1268303
545643830	1226323
374606022	1131935
258597232	36329
190665897	526949
408543467	1167641
483082165	1114962
303388328	876142
483367458	1221299
307564725	679191
532609696	1238215
484013988	1245476
544815442	1121439
94263015	262489
209882663	441375
483970838	1157633
484119721	95614
188590795	977880
334133547	944559
443329379	102125
545616187	1256908
336266639	771870
557679929	631454
107887457	284813
483336427	1041139
399025424	1144316
429082096	1073999
167383158	370354
85068411	367110
484186496	1248412
326203192	588581
386876657	859350
421506185	1197721
484082157	1121378
484006187	1120963
484208640	1122975
530567812	1338518
484118564	95614
421861823	1212764
484867494	1073567
172054853	43989
241952463	573826
50304022	284590
282890103	159254
237837908	508771
119490125	331117
397735516	745408
484106119	1124780
145233722	425011
365895675	551947
485042098	933267
134108996	283643
477577902	1246476
365152863	665944
70997468	330879
417852592	1032866
485052316	1210443
406662220	1225176
419719709	1095750
339899088	435258
381189112	1086011
459086185	1288971
484088734	1122979
317512234	683219
149278137	391596
330024090	749535
508551384	1321368
523697482	1330534
416374959	423471
484014940	1009422
167392153	370354
189348893	395019
498815913	1316928
353025673	941258
489488115	1300222
484191358	617131
365919597	1002368
302688352	578458
551025123	1280683
157373141	425104
145541075	412030
452215509	909209
485085018	1278307
334135711	944559
359417864	1072681
190641881	526946
564722664	1357400
419795658	1095748
484143801	1292020
238758276	527002
484006269	1120963
333370214	1002339
485053322	1211706
303390562	876142
402832115	936370
418365423	1076135
491406416	1144662
545624826	1226322
384916743	1156937
67523702	227321
357632062	1030157
126445587	320389
484201278	913328
85717425	314253
487075813	1169309
483624462	996640
432346233	1195242
486397178	1155717
224581097	591158
563167665	1287240
167386938	370354
490532303	1198630
154271000	339724
545615882	1256908
545656964	1358026
374607722	710687
421510286	1211117
262379884	575589
484022737	1246474
484216602	1184265
167346299	498736
414597862	1127129
485065325	613203
402845857	1125723
348166720	940284
552951483	1388760
367016812	4950
484220414	1131273
483865075	1144273
482909309	1174528
452728971	1154896
558646087	1410620
558526513	1352936
485052564	1211112
350564709	717772
553310056	1111134
119469263	156578
563201954	1287116
373501615	883158
338991786	1043206
347736065	1003237
418935771	1125979
118346802	5911
544763607	1338009
339048501	434085
339303851	935295
224580305	537006
484051583	1158148
238794666	349965
484139930	1216007
499134014	1313264
331640214	658088
483258316	765909
560242090	1396518
389794748	1163408
407979508	1178537
490716041	1292389
484168202	137716
545612183	1111120
170104530	486041
488663778	999409
356908043	1007103
189199267	426418
483310908	1221291
365222621	990998
67624376	353151
67592741	353151
550019544	1400798
484235634	1052801
401410199	572307
242769288	441959
470937753	1284223
345854274	700597
550260673	1349822
258564521	336963
317157534	510516
254505353	391586
400756305	243231
333981540	927655
126651695	388400
553307301	1319815
401827387	907965
490272072	1191305
395801086	1202532
486306890	1157689
149172869	447455
68000660	5823
359446282	420915
121535478	401526
378579582	660596
410452513	1117379
423076228	537010
545456682	1337093
544763564	1338009
484039120	1169185
164654955	425265
484144920	675511
484031289	1234594
398888247	1144333
237754134	525263
484342481	1204340
471970406	1279009
483550935	1306990
402295662	981224
294663868	427082
421082380	1175631
115391830	341663
154286017	339724
483532785	1123298
399524034	1105030
485125016	1218108
223939975	320771
84995047	353154
487394250	748652
418466329	1120227
511623375	1298855
445061969	1287056
483819863	940283
421616725	1218352
238797951	349967
545320415	1394178
485044535	1176490
381149990	762967
564114251	1392007
332526932	987059
558560414	1321371
484037301	1197906
448645455	662476
485098846	1123033
365883689	566679
189208409	426418
224515454	553973
458845214	1284240
484200275	857041
424661500	991999
398021516	5661
254579798	559307
50419914	284592
421071191	1149860
350553396	765914
365986335	1071378
410105720	658661
95931301	281689
429242510	284812
520814963	911241
483695134	1138452
484110146	659495
358468316	861452
484235157	468556
357632066	1030157
116326852	355276
295662967	502779
557594319	1408443
395212133	1144253
393760550	1156918
339002273	999141
484204054	1191313
508293184	1321368
394994236	1007654
119474328	331117
558090507	1399146
229496067	553175
145494435	412030
417474439	913081
87310704	314230
395237043	883169
335037619	82789
485047724	1200791
315054470	535722
402822691	473781
484208500	1122975
555237207	1079477
333123431	927694
224515267	411464
358462952	298655
544916385	1221520
418045942	243274
484078846	1261622
224581103	253839
67858170	5823
67613627	353151
367038052	578455
551266544	1121924
296806167	554155
425734901	1229781
441509745	1220583
484105198	1134413
399015281	1144322
68059268	5823
484089395	1123035
483974481	1155718
554038720	1173948
487372353	1121334
560465673	1388763
484107633	128403
484230324	1157686
66362903	353152
484220272	1131273
484226602	1123392
291461261	585503
514982417	1330531
410463620	1206767
564864873	1414851
523702071	1346790
324996938	871541
483210578	1131287
118364576	5911
429330497	1005395
483837670	940285
67582861	353151
418003571	1051659
417852690	1032866
550959335	1266998
190663999	538025
444311943	1234597
296042125	546267
425738894	1229783
395218825	1144253
564017463	1352929
484186959	1248412
336452189	1036674
545908213	1299319
483979830	1122987
483972572	1154764
238614405	554373
190682383	526945
545334055	1227262
416379671	423471
483743911	1046724
398846421	1144340
359444287	420915
398863663	1144337
485064576	374846
319949408	910954
544874928	1172190
560232182	1396518
82539316	352914
482989397	1069082
357632099	1030157
296042159	546267
418463325	1114959
485062775	569152
484197867	857042
545316785	1394178
484121459	1273539
350552271	765914
514971466	1217660
156055785	665079
171321083	396597
237838304	508771
259048314	525309
428784101	1027397
523669398	1268068
485459095	1072576
482621644	864073
149146432	441163
484040166	1051075
416002025	872330
163804275	214688
491356078	1217705
484185850	1248412
485053154	1211706
484050419	1048680
164658567	425265
484008933	1245475
452215550	909209
483034120	1131289
484002458	1121096
385325853	708616
223667798	411479
545656489	1358026
550988168	1144932
300868017	272129
359771085	1077974
383809768	1125724
417973310	525362
238758951	527002
91226094	314288
484018733	1151120
238790158	349966
404260123	1208314
484074524	372781
485062067	1217722
302654045	663202
563040102	1287289
484227944	690598
557594750	1408443
431795410	926556
448328413	1227496
545402906	411472
560945816	1236974
