#Accession	NCBI-taxid (-1 = withdrawn)
2509887034	320502
2516653058	1078846
2509276016	935852
2505679104	868595
2517287020	1089544
2508501103	885272
2515154195	1123318
2513237120	1111731
2516653076	1112272
2509276065	937777
2511231049	299567
2509276059	880071
2517287029	935549
2513237148	1079467
2512875014	146907
2509276048	983594
2513237092	318996
2517093044	1114263
2506210005	929705
2515154078	1123392
2513237138	147710
2513020034	371601
2517093005	1120925
2508501136	768706
2503904012	760011
2516653079	1089549
2517287034	674036
2515154133	1123276
2515154132	1123310
2517287026	1089546
2509601041	929703
2513237139	1038864
2509276029	915438
2507525000	926564
2513237136	546899
2515154019	1120957
2510065050	765910
2515154156	1121367
2506520049	870187
2510065045	754502
2507262055	754500
2512564015	1101195
2510461022	797304
2515154111	1123400
2516143113	1123248
2517287022	1132855
2505313015	511437
2517093008	1069083
2513237160	1041150
2516653063	876269
2506520007	82996
2515154172	1123388
2506783048	931627
2510065076	1033991
2515154090	1000570
2512047018	1117110
2502422321	645990
2513237094	1038867
2515154086	1121865
2508501109	673860
2512875033	108010
2513237085	1041144
2508501042	319003
2517287021	1123518
2503982040	28211
2509601017	42422
2517487019	1132443
2508501017	662476
2513237095	1038861
2509276018	1040980
2517287028	1132444
2513237135	1056817
2504557012	869209
2517434010	1123058
2508501047	395493
2513237088	1079800
2510461079	1096769
2515154051	886379
2504643006	869210
2506783045	670307
2503508009	697281
2508501039	298655
2513237090	1040986
2506783060	710686
2510065060	1076524
2510065059	1040981
2509601019	706587
2516493027	1090319
2506783044	714314
2515154075	983920
2513237102	1038863
2505679089	590998
2501004205	398580
2509601029	867903
2514885005	371601
2517287015	1090320
2506520045	714315
2503538017	698762
2513237098	1038860
2513020033	371601
2517093006	1122974
2504136000	760142
2517287027	1125975
2517093043	1069080
2501416924	246198
2509601042	987045
2508501120	443254
2515154175	1122605
2515154134	1041138
2513237123	926551
2507262031	756499
2513237104	189753
2509276051	755731
2510461070	926566
2503982041	744985
2503113005	909943
2503283019	684719
2503707003	1353534
2515075013	1068980
2516653084	1090316
2513020036	1069448
2506381022	869211
2509276020	926556
2510065010	864702
2516653085	936350
2513237089	1041148
2515154214	1122995
2503754016	690850
2509601038	869213
2505313070	-1
2505313067	-1
2501799908	-1
2505313033	-1
2501025493	-1
2510461043	-1
2505313069	-1
2505313071	-1
2505313036	-1
2516493009	-1
2509601047	-1
2517287030	376171
2504756083	-1
2505313039	-1
2501799900	-1
2507262030	-1
2500868051	-1
2505313072	-1
2004170000	-1
2500168154	-1
2516653078	-1
2501416926	-1
2502376845	-1
2013515003	-1
2505313068	-1
2505313066	-1
2505313034	-1
2516493036	-1
2501779502	-1
2501939606	-1
2500104001	-1
2545555844	1162418
2505313035	-1
2561511127	880073
2505313037	-1
